,sex,age,educyr,farm,urban,hhsize,rlfood,exp12m,commune
159,female,48,5.0,no,yes,5,5279.6548223057935,64.99998245678597,6
160,female,70,0.0,no,yes,2,6011.767034266172,454.99980937735745,6
161,female,66,0.0,yes,yes,3,6760.012377321147,4355.00048215687,6
163,male,66,1.0,yes,yes,4,7820.5643620859855,2690.999594393928,6
164,male,69,3.0,yes,yes,2,4003.214730711861,64.99998245678597,6
165,male,46,9.0,yes,yes,5,9674.114604852384,25.999986011445234,6
166,female,60,15.0,no,yes,7,13384.130592786543,2280.999492969368,6
167,female,67,1.0,yes,yes,2,3393.8457604793757,4056.0018443811637,6
168,female,46,14.0,no,yes,3,7749.960301909386,424.0002309817128,6
169,male,72,6.0,yes,yes,2,3323.7867523786012,3544.9984438650613,6
170,female,81,2.0,no,yes,5,11208.324050191675,78.00001351821305,6
171,male,41,9.0,no,yes,4,8524.767252333884,2990.0009975098164,6
172,female,43,15.0,no,yes,5,12337.25715422639,1820.000400271114,6
173,female,56,13.0,no,yes,3,4278.2272121436245,364.00004818022944,6
174,male,36,12.0,no,yes,4,7891.456519225536,14170.009455860583,6
175,female,68,5.0,yes,yes,2,5350.64289521263,936.0004900171023,6
177,female,39,4.0,no,yes,3,3684.9343905467153,350.99992156348986,6
179,female,56,6.0,no,yes,4,10680.831870744238,1325.9997735910783,6
180,female,69,5.0,no,yes,5,13098.578606739431,1013.9998132707727,6
181,male,59,12.0,no,yes,1,4190.108887296016,792.9998242435853,6
183,female,72,0.0,yes,yes,1,2024.8643709724408,78.00001351821305,6
184,male,35,9.0,yes,yes,3,5670.077131112024,1384.9994202094288,6
185,female,55,3.0,yes,yes,3,4216.863988144216,454.99980937735745,6
186,female,40,15.0,no,yes,1,2296.057957650503,260.0000959359805,6
187,male,42,12.0,no,yes,4,4279.861807126428,650.0004141218382,6
188,male,55,13.0,no,yes,1,5248.916744946949,3769.9989427335977,7
189,male,44,12.0,no,yes,4,16851.045814551937,596.0001984290843,7
190,female,67,2.0,no,yes,2,4594.793069800492,9820.005878759368,7
191,male,73,9.0,no,yes,6,11602.61752097955,695.0001073324776,7
193,male,60,19.0,no,yes,4,13935.948449545282,1399.9992781554968,7
194,male,40,16.0,no,yes,4,10084.440798337997,2509.9999193641697,7
195,female,78,4.0,no,yes,4,27588.93319226474,47200.039101740076,7
196,female,62,5.0,no,yes,7,17269.5998390358,572.0000049307557,7
198,female,45,4.0,no,yes,4,19143.930515289416,390.00010174177345,7
199,female,62,11.0,no,yes,2,8734.639928288736,780.0000626467654,7
200,female,58,7.0,no,yes,6,10627.677903363401,3179.9984870383328,7
201,male,37,12.0,no,yes,3,11452.725321439835,910.0003644451576,7
202,male,24,11.0,no,yes,4,6216.846104612321,1300.0005935156187,7
203,female,29,8.0,no,yes,5,18213.803141824734,1950.0006794624235,7
204,male,48,9.0,no,yes,5,12736.89272192602,11499.996384960139,7
205,male,69,6.0,no,yes,7,11444.985895343287,3255.0014496384356,7
206,female,62,2.0,no,yes,4,8593.024083521232,650.0004141218382,7
207,male,39,9.0,no,yes,9,19978.56044885519,3444.9993680225284,7
208,male,29,12.0,no,yes,3,7384.799167910747,3900.0006547408775,7
209,female,41,9.0,no,yes,10,13523.064660739348,6638.9958259348105,7
210,female,65,2.0,no,yes,6,3948.7604558446246,260.0000959359805,7
211,male,30,8.0,no,yes,5,11399.776170235888,1115.0003524580013,7
212,male,31,11.0,no,yes,3,13614.558811604911,29.999988550137516,7
213,female,40,3.0,no,yes,3,7451.852960662217,324.9999407428408,7
214,male,33,12.0,no,yes,4,11125.254687157114,3061.000186888101,7
215,male,47,9.0,no,yes,4,10707.117647467738,189.99998628950806,7
216,female,43,15.0,no,yes,5,14134.798293184289,920.0003035604107,7
217,male,67,10.0,no,yes,9,25624.392273413432,5616.00030491709,8
219,female,38,15.0,no,yes,3,10824.387832484856,2634.9987853299353,8
220,female,61,17.0,no,yes,3,6230.2516236825395,36399.852448355145,8
221,female,71,20.0,no,yes,1,2317.7218012960825,6230.002418601736,8
222,male,72,6.0,no,yes,3,8214.482220995813,299.00012755621196,8
223,female,83,12.0,no,yes,4,6113.532281906955,10530.004158002757,8
224,female,69,15.0,no,yes,1,3766.81087237195,840.000090856623,8
226,male,71,12.0,no,yes,3,8768.298036506625,13400.000188417362,8
227,female,57,2.0,no,yes,2,8112.278036823934,260.0000959359805,8
228,female,71,2.0,no,yes,1,4371.239996940923,324.9999407428408,8
229,female,57,5.0,no,yes,4,8347.663847858854,8579.998348504525,8
230,female,60,3.0,no,yes,4,9235.296516291262,15599.996985493279,8
232,female,72,9.0,no,yes,4,3448.7875035271686,9269.00205886913,8
233,female,59,17.0,no,yes,5,10660.93068293133,130.00007144079393,8
235,male,39,12.0,no,yes,4,5322.88644473266,25.999986011445234,8
236,male,52,15.0,no,yes,4,8298.723609740036,3691.9978009614865,8
237,male,39,12.0,no,yes,3,11117.992267284535,4549.997670650861,8
238,male,81,13.0,no,yes,2,6140.656885328903,390.00010174177345,8
239,female,52,9.0,no,yes,6,23076.037028315128,4731.9989348350755,8
240,male,40,12.0,no,yes,7,26422.204099157545,714.9996119738901,8
241,female,32,9.0,no,yes,4,7146.742946901578,1650.9992670880315,8
242,female,57,5.0,no,yes,8,22640.14642881396,1460.0004165345813,8
243,male,69,9.0,no,yes,4,7394.427832939498,260.0000959359805,8
244,male,43,15.0,no,yes,3,5032.534434928872,4760.999956224899,8
245,male,36,10.0,no,yes,4,11583.801745874756,7499.997753567324,8
246,male,45,9.0,no,yes,1,3697.107366370281,117.00000762866277,8
247,female,82,0.0,no,yes,1,3603.179755458516,2509.9999193641697,8
250,male,56,9.0,no,yes,6,13053.27057336642,415.9998917313286,9
252,male,51,12.0,no,yes,8,19561.2529835333,15599.996985493279,9
256,male,44,2.0,no,yes,5,6420.780740758051,999.9997210179017,9
257,female,54,0.0,no,yes,2,4372.297965029159,130.00007144079393,9
258,female,27,3.0,no,yes,4,5954.1039483655395,1040.0000081791652,9
259,female,57,11.0,no,yes,1,3723.3720435599985,199.99992669040608,9
260,male,75,2.0,no,yes,4,9043.721147048764,2420.0004376552674,9
261,female,51,4.0,no,yes,6,12055.55706700366,1754.9997614955755,9
263,female,57,5.0,no,yes,4,14589.7426125398,390.00010174177345,9
264,male,49,12.0,no,yes,6,26911.258240884308,672.999778149135,9
265,female,47,1.0,no,yes,5,8738.440323183515,390.00010174177345,9
266,male,44,6.0,no,yes,3,9015.251200728444,130.00007144079393,9
267,female,74,0.0,no,yes,5,7595.62725874883,260.0000959359805,9
268,female,65,7.0,no,yes,3,18295.803580639273,4758.001470874532,9
269,male,29,6.0,no,yes,1,4690.5916271575925,520.000097980763,9
270,male,56,8.0,no,yes,8,26970.258478110656,2417.999924619484,9
272,female,56,8.0,no,yes,4,12175.244136146823,33239.02777847594,9
273,male,42,12.0,no,yes,5,14574.51886942895,2724.000906358296,9
274,female,67,5.0,no,yes,4,10141.599435878417,11374.9972265575,9
275,female,42,7.0,no,yes,5,14570.2928717561,650.0004141218382,9
277,male,67,12.0,no,yes,4,10332.442692126737,1145.0000961933551,9
278,female,44,12.0,no,yes,4,10201.999403357766,818.9999313243393,9
279,female,32,5.0,no,yes,4,6594.445613629037,78.00001351821305,10
280,female,38,5.0,no,yes,6,7446.117242417416,5545.99874562958,10
281,female,56,5.0,no,yes,4,6524.750539723151,324.9999407428408,10
282,male,65,2.0,no,yes,2,6359.118206849209,390.00010174177345,10
283,male,67,4.0,no,yes,7,29272.096401664367,207.9999834221266,10
284,male,44,8.0,no,yes,3,7377.4475696431955,1559.9998436200185,10
285,female,43,12.0,no,yes,4,7758.99426692396,11400.99601154647,10
286,female,64,3.0,no,yes,3,10108.126669113954,3250.0023551985582,10
287,male,46,6.0,no,yes,4,6434.709659155637,25.999986011445234,10
288,male,60,9.0,no,yes,1,6641.778148041658,390.00010174177345,10
290,male,32,12.0,no,yes,7,13410.84517477529,2994.0013024514374,10
291,female,34,12.0,no,yes,4,10560.96567948325,844.9994698833542,10
293,male,84,5.0,no,yes,6,11678.30352867031,2575.000481273116,10
294,male,64,9.0,no,yes,6,9639.784185907538,143.00005287284299,10
296,male,56,16.0,no,yes,5,16651.457015193802,520.000097980763,10
297,male,68,5.0,no,yes,8,12409.740904259459,5559.00269637432,10
298,female,50,7.0,no,yes,7,9518.104492213291,17859.984739877953,10
300,female,39,9.0,no,yes,4,12145.597045431288,246.99991685290374,10
301,male,45,6.0,no,yes,6,8501.492369928088,90.99995390697832,10
302,male,59,7.0,no,yes,5,12796.602692108809,5525.002616718227,10
303,male,64,21.0,no,yes,2,9570.39731208947,650.0004141218382,10
304,female,45,13.0,no,yes,3,8646.786257790909,3948.0023666159964,10
305,female,43,12.0,no,yes,4,8978.561866729444,598.0001471375402,10
306,female,61,2.0,no,yes,19,40398.583441285875,7089.003077654454,10
307,male,41,9.0,no,yes,4,11154.519153266676,1429.9989657472215,10
308,female,70,5.0,no,yes,6,21748.82473751279,5590.00242522681,10
310,male,62,18.0,no,yes,5,9119.178479419508,22554.95376584987,10
311,female,44,7.0,no,yes,5,15447.662864853055,753.999722522052,11
312,female,39,15.0,no,yes,4,11325.748036975792,910.0003644451576,11
313,female,35,10.0,no,yes,6,8984.831090617025,33786.95296504777,11
314,female,60,0.0,no,yes,3,2962.948006995704,780.0000626467654,11
315,female,54,15.0,no,yes,6,11987.755106403996,8022.994417970358,11
316,male,46,11.0,no,yes,7,27697.294058917363,429.00003477988207,11
317,female,51,0.0,no,yes,8,24459.6475525004,7799.99990111407,11
318,male,48,14.0,no,yes,4,8142.332777970102,614.9998352990136,11
319,male,40,12.0,no,yes,6,5243.937885798322,1317.0003928041579,11
320,male,44,5.0,no,yes,6,10556.562674885161,494.000238509224,11
321,male,35,11.0,no,yes,3,11983.739881031155,650.0004141218382,11
322,male,45,17.0,no,yes,6,13237.685459870012,120.00003086615848,11
323,female,40,9.0,no,yes,7,15718.75713187909,2276.0004660196473,11
324,male,28,12.0,no,yes,6,35838.571192016396,3040.0006250232504,11
325,male,61,9.0,no,yes,6,8098.863320412746,910.0003644451576,11
326,female,46,17.0,no,yes,4,8333.49320834835,113.99994888303897,11
327,male,31,7.0,no,yes,5,10761.174693335539,6565.001400072421,11
329,male,69,5.0,no,yes,8,6381.688522359865,52.00001463376783,11
330,female,62,7.0,no,yes,3,6107.153084724981,3109.999983911098,11
331,female,36,7.0,no,yes,5,10818.749795260352,2074.9991022207373,11
332,female,52,9.0,no,yes,8,8011.4416088121625,1845.9992337942342,11
333,female,57,10.0,no,yes,6,9965.316566701904,1804.000540076966,11
334,female,30,8.0,no,yes,6,9560.20070431231,390.00010174177345,11
337,male,51,3.0,no,yes,8,8412.466569186961,520.000097980763,11
338,female,42,3.0,no,yes,4,5421.951039243267,143.00005287284299,11
339,male,40,0.0,no,yes,5,7180.39733753033,864.0001997533193,11
340,male,34,4.0,no,yes,5,13089.543704900367,900.0002130081454,11
341,male,53,0.0,no,yes,4,10313.61349410526,260.0000959359805,12
342,male,51,12.0,no,yes,4,8138.897438445417,13755.00449295217,12
343,female,72,9.0,no,yes,4,4841.621673015617,25.999986011445234,12
344,female,46,7.0,no,yes,7,10079.984460428346,260.0000959359805,12
345,female,62,5.0,no,yes,3,8512.193977229119,54.99998981221505,12
347,male,38,6.0,no,yes,4,10842.035130085398,1255.0001862848287,12
348,female,57,5.0,no,yes,5,8581.405583623819,415.9998917313286,12
349,female,55,2.0,no,yes,10,10348.025421901564,1300.0005935156187,12
350,male,38,5.0,no,yes,8,13489.029440183616,4095.000015204041,12
353,female,56,3.0,no,yes,11,14684.870131827762,15265.001447595603,12
355,male,63,2.0,no,yes,5,9584.332375478769,130.00007144079393,12
356,female,49,0.0,no,yes,2,4491.949169451964,2210.000454128972,12
357,female,53,7.0,no,yes,4,4178.146474404746,3363.999929043693,12
358,male,50,5.0,no,yes,7,12697.837724020368,260.0000959359805,12
359,male,43,6.0,no,yes,6,10517.354696853996,1468.9997412005969,12
360,female,41,8.0,no,yes,3,4122.367857714732,6607.000184798549,12
361,male,46,8.0,no,yes,4,11874.766909066415,1533.0001856895203,12
362,female,66,0.0,no,yes,6,5707.395106223348,46309.851832559136,12
363,female,49,3.0,no,yes,5,12675.166950376804,1380.0003061513087,12
364,male,66,17.0,no,yes,5,20000.34895232158,320.000001345993,12
366,female,35,7.0,no,yes,4,15611.88871336914,1893.9994815251032,12
367,male,58,9.0,no,yes,6,16371.904426890489,268.0000052230905,12
368,male,48,9.0,no,yes,9,12119.281794646029,2821.000815263487,12
369,female,54,2.0,no,yes,3,6718.364325861478,2937.998951916215,12
370,male,48,9.0,no,yes,6,12806.280581525314,5109.000156688959,12
371,female,39,11.0,no,yes,7,11788.12561527607,5479.9979179179,12
372,male,41,12.0,no,yes,4,6828.047223196248,155.99999886907224,12
373,male,54,8.0,no,yes,5,20286.68421904611,780.0000626467654,13
375,male,49,7.0,no,yes,10,37854.68389172632,1858.0001498035165,13
376,male,61,6.0,no,yes,5,23476.847459497825,4627.999591284832,13
377,female,54,2.0,no,yes,3,8861.638865266377,719.9998473527436,13
378,female,37,3.0,no,yes,5,21977.33557099658,2730.000305271332,13
379,male,56,5.0,no,yes,8,33427.35982244637,49.9999997285927,13
381,female,51,15.0,no,yes,2,6324.998016507373,195.00008608008832,13
382,male,44,17.0,no,yes,2,12957.939913764998,2449.999256330119,13
383,male,49,13.0,no,yes,5,12609.061485754202,16900.001674601386,13
384,female,49,3.0,no,yes,7,19530.136244279973,130.00007144079393,13
385,female,38,5.0,no,yes,6,18726.85745510347,22814.007720536265,13
386,male,52,17.0,no,yes,6,12695.882407574098,9895.001404727293,13
387,male,60,0.0,no,yes,7,19885.995117191793,99.99998140119261,13
388,female,65,6.0,no,yes,9,13171.859804613407,2369.999445113916,13
389,female,64,5.0,no,yes,2,12455.505338294131,1945.9994886964478,13
390,female,35,10.0,no,yes,5,9389.130787253418,741.0002776556515,13
391,male,64,6.0,no,yes,10,19575.400883289843,4366.997582929224,13
392,female,44,2.0,no,yes,6,11004.031669068283,852.0004031415185,13
393,female,59,3.0,no,yes,2,6121.448313247444,1300.0005935156187,13
394,male,50,10.0,no,yes,4,12945.752227511844,1219.999831972703,13
395,male,37,11.0,no,yes,6,10292.224641801944,233.99997300629934,13
396,male,71,9.0,no,yes,5,20518.24973332713,8034.001486939068,13
398,female,49,5.0,no,yes,5,8011.201269169005,260.0000959359805,13
399,male,55,3.0,no,yes,11,19536.367351550656,52.00001463376783,13
402,male,63,5.0,no,yes,10,20003.509257113565,7399.997933977561,13
403,female,64,0.0,no,yes,1,6200.976136428324,1950.0006794624235,14
405,female,32,7.0,no,yes,5,14557.010822192246,598.0001471375402,14
406,female,60,0.0,no,yes,4,13036.429674195651,2365.999894622309,14
407,male,61,3.0,no,yes,1,15777.040038014959,9100.002798205465,14
409,female,69,3.0,no,yes,6,13017.839955969099,1325.9997735910783,14
410,male,40,12.0,no,yes,10,25970.329700155868,1445.9994176688629,14
411,female,49,9.0,no,yes,6,15137.539541300499,830.000248343803,14
412,female,35,3.0,no,yes,2,8934.719198864295,69.99998305654692,14
413,female,48,6.0,no,yes,3,6992.497027655903,499.99995078890663,14
414,male,39,16.0,no,yes,4,11673.387997676624,782.0002028935932,14
415,male,66,2.0,no,yes,7,16191.618325262643,2079.9996407936746,14
416,male,52,5.0,no,yes,6,11044.943495534699,390.00010174177345,14
417,female,35,3.0,no,yes,6,12281.176459460585,182.00005695203214,14
418,male,47,0.0,no,yes,6,9220.743931414174,338.0000353267414,14
419,male,66,9.0,no,yes,9,18347.140311444142,2485.0001527511427,14
420,male,63,6.0,no,yes,9,20091.135964732268,2039.0004677987395,14
421,female,51,9.0,no,yes,3,21523.80906985204,1624.999846008771,14
422,male,54,12.0,no,yes,4,9946.589424638694,395.99991634323453,14
423,male,52,12.0,no,yes,5,15988.803899548477,5850.000349678479,14
424,female,40,6.0,no,yes,10,27109.24248960601,910.0003644451576,14
426,female,53,3.0,no,yes,5,10140.67659231976,2794.9989222783947,14
427,male,71,2.0,no,yes,9,18851.42901844864,90.99995390697832,14
428,female,56,8.0,no,yes,12,26932.52653476457,4355.00048215687,14
429,male,61,9.0,no,yes,4,8947.809207319646,324.9999407428408,14
430,female,72,0.0,no,yes,2,6475.9396776521635,130.00007144079393,14
431,female,53,6.0,no,yes,5,17411.252994696242,2717.0010611888197,14
433,male,32,14.0,no,yes,4,12121.790745645007,1001.0002209054887,14
434,female,30,9.0,no,yes,4,32599.753305166993,2040.9996677051342,14
435,male,42,12.0,no,yes,4,4502.238515675071,104.00001048929774,15
436,male,52,9.0,no,yes,6,8511.02788653327,324.9999407428408,15
437,male,69,4.0,no,yes,5,17853.502741971202,260.0000959359805,15
438,male,38,8.0,no,yes,6,9661.140650523168,780.0000626467654,15
440,male,31,17.0,no,yes,3,6571.050551568556,64.99998245678597,15
441,male,68,3.0,no,yes,6,9698.688993035488,64.99998245678597,15
442,female,54,7.0,no,yes,6,20670.069189306716,15240.002602372911,15
445,male,47,9.0,no,yes,6,13634.982338872875,260.0000959359805,15
446,male,33,12.0,no,yes,3,10116.418732263877,2053.999197936771,15
447,female,24,8.0,no,yes,4,6030.547007790211,7587.997487955791,15
448,male,48,10.0,no,yes,4,6198.682199662316,2668.9996012393563,15
449,male,60,8.0,no,yes,4,5394.833417422248,233.99997300629934,15
450,male,58,8.0,no,yes,4,5621.950799470757,3548.9994582576273,15
451,female,63,3.0,no,yes,3,8400.403337099271,1300.0005935156187,15
452,female,36,6.0,no,yes,4,9453.336245168857,1300.0005935156187,15
453,female,41,6.0,no,yes,5,13495.49223300078,2600.000717575207,15
454,male,41,9.0,no,yes,4,6122.691093392945,260.0000959359805,15
455,female,32,12.0,no,yes,4,11020.60520518787,6499.997036756444,15
457,male,36,5.0,no,yes,4,7205.500704132906,883.9999446283247,15
458,male,47,15.0,no,yes,6,6454.275123026601,3769.9989427335977,15
459,female,42,12.0,no,yes,4,8052.114445824368,1300.0005935156187,15
460,male,66,16.0,no,yes,3,11373.38209162862,390.00010174177345,15
